OPPO K7x 双模5G 4800万四摄 5000mAh长续航 90Hz电竞屏 蓝影 6GB+128GB 30W闪充 全网通游戏智能,1499.00,10万+,OPPO京东自营官方旗舰店
vivo iQOO U1x 6GB+64GB 曜光黑 5000mAh大电池 骁龙662处理器 AI全场景三摄 全网通大屏拍照iqoou1x,999.00,10万+,vivo京东自营官方旗舰店
Apple iPhone 12 (A2404) 128GB 白色 支持移动联通电信5G 双卡双待手机,6799.00,60万+,Apple产品京东自营旗舰店
京品手机realme 真我Q2 4800万像素 120Hz畅速屏 双5G天玑800U 冲浪蓝孩 6GB+128GB 30W闪充 OPPO提供售后支持,1238.00,10万+,realme真我京东自营旗舰店
Apple iPhone 11 (A2223) 128GB 黑色 移动联通电信4G手机 双卡双待,4899.00,400万+,Apple产品京东自营旗舰店
realme 真我V15 6400万像素 50W智慧闪充 仅179g 锦鲤色 6GB+128GB 双5g游戏,1499.00,3万+,realme真我京东自营旗舰店
Redmi K30S 至尊纪念版 双模5G 骁龙865 144HzLCD旗舰屏幕 8GB+128GB 月光银 游戏 小米 红米,2599.00,10万+,小米京东自营旗舰店
荣耀Play4T Pro 麒麟810芯片 OLED屏幕指纹 4800万高感光夜拍三摄 22.5W超级快充 全网通8GB+128GB 冰岛幻境,1788.00,90万+,荣耀京东自营旗舰店
Redmi K30 5G双模 120Hz流速屏 骁龙765G 前置挖孔双摄 索尼6400万后置四摄 30W快充 6GB+128GB 紫玉幻境 游戏智能 小米 红米,1599.00,70万+,小米京东自营旗舰店
Redmi 9 全场景AI四摄 高性能游戏芯 4GB+64GB 碳素黑 游戏智能手机 小米 红米,799.00,40万+,小米京东自营旗舰店
vivo iQOO 7 12GB+256GB 传奇版 骁龙888 120W超快闪充 KPL官方赛事电竞手机 双模5G全网通vivoiqoo7,4198.00,6万+,vivo京东自营官方旗舰店
三星 Galaxy S21 5G（SM-G9910）双模5G 骁龙888 超高清专业摄像 120Hz护目屏 游戏 8G+128G 墨影灰,4999.00,2万+,三星京东自营官方旗舰店
Redmi 10X 5G 天玑820 双5G待机 4800万流光相机 水滴全面屏 6GB+128GB 深海蓝 游戏智能老人 小米 红米,1399.00,40万+,小米京东自营旗舰店
vivo iQOO Neo3 5G 8GB+128GB 夜幕黑 高通骁龙865 144Hz竞速屏 立体双扬 44W闪充 双模5G全网通,2698.00,30万+,vivo京东自营官方旗舰店
Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机,10099.00,30万+,Apple产品京东自营旗舰店
vivo iQOO U3 8GB+128GB 太初黑 天玑800U八核处理器 5000mAh大电池 90Hz竞速屏 5G全网通 iqoou3,1598.00,6万+,vivo京东自营官方旗舰店
小米11 5G 骁龙888 2K AMOLED四曲面柔性屏 1亿像素 55W有线闪充 50W无线闪充 8GB+256GB 蓝色 游戏,4299.00,20万+,小米京东自营旗舰店
vivo iQOO U3 6GB+128GB 太初黑 天玑800U八核处理器 5000mAh大电池 90Hz竞速屏 5G全网通 iqoou3,1398.00,6万+,vivo京东自营官方旗舰店
Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人 小米 红米,699.00,100万+,小米京东自营旗舰店
Redmi K40 Pro 旗舰骁龙888 三星E4旗舰120Hz高刷直屏 6400万高清三摄相机 杜比全景音 33W快充 8GB+256GB 墨羽 游戏电竞智能5G 小米 红米,3299.00,3万+,小米京东自营旗舰店
一加手机 OnePlus 8T 5G旗舰 120Hz柔性直屏 65W闪充 高通骁龙865 超清四摄 12GB+256GB 青域 拍照游戏,3699.00,10万+,一加手机京东自营官方旗舰店
Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+128GB 皓月白 游戏智能 小米 红米,1199.00,100万+,小米京东自营旗舰店
realme 真我Q2 Pro 4800万四摄 65W智慧闪充 仅175g超轻超薄 C位色 8GB+128GB 双5g游戏,1499.00,4万+,realme真我京东自营旗舰店
vivo iQOO U1 8GB+128GB 星耀蓝 骁龙720G 4500mAh大电池 18W闪充超强续航 全网通拍照大屏幕 iqoou1,1598.00,9万+,vivo京东自营官方旗舰店
OPPO A52 8GB+128GB 凝光紫 5000mAh超大电池+18W疾速快充 星阵AI四摄 侧边指纹 全面屏拍照游戏智能,1349.00,10万+,OPPO京东自营官方旗舰店
Redmi K30 至尊纪念版 双模5G 天玑1000plus旗舰芯片 120Hz高刷新率 8GB+128GB 月幕白 游戏 小米 红米,2199.00,30万+,小米京东自营旗舰店
京品手机OPPO Ace2 8+128 月岩灰 高通骁龙865 双模5G 185g超薄机身 65W超级闪充 40W无线闪充 90Hz电竞屏,2899.00,10万+,OPPO京东自营官方旗舰店
OPPO K7 双模5G 骁龙765G 30W VOOC闪充 4800万超清四摄 石墨片+铜管散热 8+128GB 海夜 全网通游戏电竞,1899.00,10万+,OPPO京东自营官方旗舰店
realme 真我V15 6400万像素 50W智慧闪充 仅179g 锦鲤色 6GB+128GB 双5g游戏,1499.00,3万+,realme真我京东自营旗舰店
vivo iQOO U1x 6GB+64GB 曜光黑 5000mAh大电池 骁龙662处理器 AI全场景三摄 全网通大屏拍照iqoou1x,999.00,10万+,vivo京东自营官方旗舰店
Redmi 10X 4G Helio G85游戏芯 4800万超清四摄 5020mAh大电量 小孔全面屏 128GB大存储 4GB+128GB 天际蓝 游戏智能 小米 红米,999.00,50万+,小米京东自营旗舰店
OPPO Reno5 Pro 5G 6400万人像四摄 65W超级闪充 12+256GB 星河入梦 全网通,3799.00,4万+,OPPO京东自营官方旗舰店
华为 HUAWEI Mate 40 Pro麒麟9000 SoC芯片 超感知徕卡电影影像 有线无线双超级快充8GB+256GB釉白色5G全网通,6999.00,20万+,华为京东自营官方旗舰店
Redmi K40 旗舰骁龙870 三星AMOLED 120Hz高刷直屏 4800万高清三摄相机 33W快充 8GB+128GB 亮黑 游戏电竞智能5G 小米 红米,2199.00,1万+,小米京东自营旗舰店
小米10 双模5G 骁龙865 1亿像素8K电影相机 对称式立体声 8GB+128GB 国风雅灰,3399.00,70万+,小米京东自营旗舰店
荣耀V40 5G 超级快充 5000万超感光影像 8GB+128GB钛空银 移动联通电信5G 双卡双待,3599.00,2万+,荣耀京东自营旗舰店
OPPOA8 多功能AI三摄 4230mAh大电池 6.5英寸水滴屏 美颜拍照智能手机 4GB+128GB 秘夜黑,1099.00,10万+,OPPO京东自营官方旗舰店
京品手机vivo iQOO U1 6GB+128GB 秘境黑 骁龙720G 4500mAh大电池 18W闪充超强续航 全网通拍照大屏幕 iqoou1,1298.00,9万+,vivo京东自营官方旗舰店
OPPO Reno5 Pro+ 骁龙865 65W超级闪充 5000万主摄IMX766 12+256 星河入梦 全网通5G,4499.00,2万+,OPPO京东自营官方旗舰店
Apple iPhone SE (A2298) 128GB 红色 移动联通电信4G手机,3399.00,30万+,Apple产品京东自营旗舰店
天语 T12Pro max 智能手机 幻彩玻璃八核6.5英寸水滴全面屏4G全网通超薄老人学生双卡双待 深海蓝 8GB+128GB,689.00,9000+,金诚手机专营店
超薄朵唯x12promax学生价游戏智能手机便宜4G全网通曲面屏千元老年全面屏老人老年机大屏128g 渐变紫 6+64GB【20%人选】,499.00,1万+,万鹏手机专营店
Apple iPhone 12 Pro (A2408) 128GB 海蓝色 支持移动联通电信5G 双卡双待手机,8499.00,10万+,Apple产品京东自营旗舰店
vivo iQOO Z1x 8GB+128GB 锐酷黑 骁龙765G 120Hz竞速屏 5000mAh超大电池 双模5G全网通 iqooz1x,1898.00,10万+,vivo京东自营官方旗舰店
【赠卡首月免月租】Apple iPhone 12 (A2404) 128GB 黑色 支持移动联通电信5G 双卡双待,6799.00,7万+,中国移动终端京东自营旗舰店
【限时12期免息！】OPPO Reno5 5G 6400万四摄65W超级闪充手机 星河入梦 12GB+256GB,2999.00,1万+,OPPO官方直营旗舰店
小米红米9A 智能老人手机 晴空蓝 全网通4G+64G,592.00,8万+,佳沪电商旗舰店
vivo iQOO Neo3 5G 8GB+128GB 极昼 高通骁龙865 144Hz竞速屏 立体双扬 44W闪充 双模5G全网通,2698.00,30万+,vivo京东自营官方旗舰店
